generation,name,pokedex_number,type1,attack,defense,hp,sp_attack,sp_defense,speed,base_total,favorite_votes
one,Bulbasaur,1,grass,49,49,45,65,65,45,318,100
one,Ivysaur,2,grass,62,63,60,80,80,60,405,43
one,Venusaur,3,grass,100,123,80,122,120,80,625,64
one,Charmander,4,fire,52,43,39,60,50,65,309,71
one,Charmeleon,5,fire,64,58,58,80,65,80,405,35
one,Charizard,6,fire,104,78,78,159,115,100,634,207
one,Squirtle,7,water,48,65,44,50,64,43,314,70
one,Wartortle,8,water,63,80,59,65,80,58,405,32
one,Blastoise,9,water,103,120,79,135,115,78,630,89
one,Caterpie,10,bug,30,35,45,20,20,45,195,9
one,Metapod,11,bug,20,55,50,25,25,30,205,3
one,Butterfree,12,bug,45,50,60,90,80,70,395,25
one,Weedle,13,bug,35,30,40,20,20,50,195,1
one,Kakuna,14,bug,25,50,45,25,25,35,205,2
one,Beedrill,15,bug,150,40,65,15,80,145,495,20
one,Pidgey,16,normal,45,40,40,35,35,56,251,13
one,Pidgeotto,17,normal,60,55,63,50,50,71,349,16
one,Pidgeot,18,normal,80,80,83,135,80,121,579,55
one,Rattata,19,normal,56,35,30,25,35,72,253,6
one,Raticate,20,normal,71,70,75,40,80,77,413,8
one,Spearow,21,normal,60,30,40,31,31,70,262,2
one,Fearow,22,normal,90,65,65,61,61,100,442,6
one,Ekans,23,poison,60,44,35,40,54,55,288,4
one,Arbok,24,poison,95,69,60,65,79,80,448,19
one,Pikachu,25,electric,55,40,35,50,50,90,320,70
one,Raichu,26,electric,85,50,60,95,85,110,485,59
one,Sandshrew,27,ground,75,90,50,10,35,40,300,27
one,Sandslash,28,ground,100,120,75,25,65,65,450,37
one,Nidoran ♀,29,poison,47,52,55,40,40,41,275,13
one,Nidorina,30,poison,62,67,70,55,55,56,365,10
one,Nidoqueen,31,poison,92,87,90,75,85,76,505,28
one,Nidoran ♂,32,poison,57,40,46,40,40,50,273,8
one,Nidorino,33,poison,72,57,61,55,55,65,365,10
one,Nidoking,34,poison,102,77,81,85,75,85,505,78
one,Clefairy,35,fairy,45,48,70,60,65,35,323,17
one,Clefable,36,fairy,70,73,95,95,90,60,483,17
one,Vulpix,37,fire,41,40,38,50,65,65,299,73
one,Ninetales,38,fire,67,75,73,81,100,109,505,119
one,Jigglypuff,39,normal,45,20,115,45,25,20,270,27
one,Wigglytuff,40,normal,70,45,140,85,50,45,435,21
one,Zubat,41,poison,45,35,40,30,40,55,245,14
one,Golbat,42,poison,80,70,75,65,75,90,455,11
